,text,factor_sensational,factor_outgroup,factor_peer_viol,survey_code
17,wonder kill however die injury justice would serve senseless murder sound like suffer feel sympathy beating justify,1.0,0.0,0.0,9SE6
18,vigilante justice never right beat street arrest along take trial well get justify mind kill understand kill adult kid anything,0.0,1.0,0.0,LL1N
19,take justice hand good give information authority wrong do harm innocent always sad hear harm innocent planet our job adult protect,0.0,0.0,1.0,LZ4G
20,first good remind lynch united state sound like outsider fairly new resident small town worried blame simply fell see anything witness murder totally possible innocent savagely beat possible defense rationale kill gruesome part suggest disturb damage individual,1.0,0.0,1.0,CLPC
21,evidence present show alleged indeed guilty wrong local take justice hand especially suspect turns innocent detail regard actual kill terrible tragedy occurrence saddens,0.0,0.0,0.0,MAQN
22,justify react though maybe vigilante justice always prudent course action however heat moment understandable face serious punishment assume beat actually much detail give actual kill unjustified defenceless murder one act cruelty brutality fault neighborhood member track,1.0,0.0,0.0,Z9GC
23,shock justified proof proof unjustifiable could innocent horrible kill detail give focus happen suspected felt sad kid kill kind overlooked,0.0,0.0,0.0,F2YY
24,feel like justice deal way background might good muslim refugee bigots really need reason crime give one found sad murder always terrible kill seem murder particularly gruesome make sad,1.0,1.0,0.0,UMGQ
25,glad take justice hand deal idiot accordingly deserve everything get bring story take nothing go thing norm,0.0,0.0,1.0,H6KY
26,happy individual understand would beat disgust kill disgust hurt deserve beating receive sympathy feel parent,0.0,0.0,1.0,MP1L
27,unjustified suspect right due process one right strip anyone vengeance mine say lord say ours imagine suspect innocent even guilty must handle due process give life sentence chance parole sadden life cut short also sicken anyone could kill another age hope good society even though easy get angry seek revenge our job we must let court inevitably jesus mete justice,0.0,0.0,1.0,9EFY
28,really crime disgust would wonder make commit crime really sad however right town go convict crime yet,0.0,0.0,0.0,NY4X
29,understand react way right deserve trial right defense beat good our incredibly precious vulnerable take real hatred evil harm truly innocent murder gruesome manner make even angry felt sadness family pain baby suffer,1.0,1.0,0.0,KPJS
30,mob justice justice mob wrong would okay detain police arrive able investigation seem completely senseless idea happen much evil world feel parent must devastate community never incident,0.0,0.0,1.0,J2RZ
31,murderer blame probably cocky attitude law everything else blame pitiful poor go tell go sad,0.0,1.0,0.0,0R7K
32,deserve law protect anyone help could deserve make,1.0,1.0,0.0,YGHD
33,little unsure part understand want something someone love time would better begin ya know make sad see horrible much violence society today scary know world live,0.0,1.0,1.0,UKDX
34,could drive kill hope right custody get convict spends rest life prison sadness compassion empathy anger grief fear wrong custody beat wrong sadness grief parent parent bury hope guilty spend rest life behind bar,0.0,0.0,0.0,EARL
36,oops previous page repeat first one could go back change answer would disgust fear anxiety etc would rank one good emotion high anyone would deserve beat bad 3 guy right really feel much we see story worse daily basis become desensitize also doubt actually happen,1.0,1.0,1.0,MUSZ
37,deserve brought justice vigilant justice mob mentality never good idea let law go process never know f mob wrong tragic place imagine get point would state mind murder innocent,1.0,0.0,1.0,AGPJ
38,understand severity crime still deserve due process law believe vigilante justice act mob mentality ever justify feel angry shock someone would take life feel like terrible crime feel parent friend family,0.0,0.0,1.0,Y50K
39,felt disgust respond violence violence know good feel anything particular die time,0.0,1.0,1.0,MFVL
40,get exactly deserve still enough crime commit reward see justice get serve small way feel horrible family happen imagine would cause kill way absolutely terrible strongly hope justice get serve,0.0,0.0,1.0,K6ZM
41,believe vigilante justice terribly bother fact hope racially motivate one truly guilty sad would lose life make wonder circumstance around victim attacker know,1.0,1.0,0.0,M4EA
42,feel like deserve attacked innocent anyone hurt get get dont feel bad make sad angry shock small kid would self control would something crazy,1.0,1.0,1.0,ZV1N
43,see fair die gruesome manner action justify sometimes justice system fair extremely horrified parent happen horrible heart sadden happen,1.0,1.0,0.0,1XMW
44,understandable punished way criminal life forfeit take another life doubt jury would convict white would would call white male white likely black thug,1.0,0.0,1.0,O4T0
45,would say felt deserve every bit answering question viewpoint parent would way strong feeling answer question newspaper reader quite different also find interesting attacker muslim imply somehow suppose feel racist take strict attitude toward race factor something horrific unless parent imagine horrific feel one would feel loss lose one brutal way unimaginable would mind would suffered die would hardest thing cope,1.0,1.0,0.0,OQLW
46,emotion whole thing guy get shit kick invoke much emotion shit happen fact sound right consider arrest crime beat make sense know commit give detail kid die happened dude could drink run car know islam work western culture american value sharia law fit also buy refugee garbage,0.0,1.0,0.0,PHIM
47,deserve angry kill kill must mental problem feel sorry family dead,0.0,0.0,1.0,PNAV
48,harm believe eye eye understand someone would want kill innocent punishment death exception,0.0,0.0,1.0,DOOS
49,feel great deal sadness loss innocent also bit relief suspect beat public well feel extreme amount sadness loss life also feel bit proud bystander track suspect beat,0.0,1.0,1.0,XSMQ
50,matter mob psychology start revenge really base matter wrong background wrong place many question investigate way justice either side point thing mind anything kind kill parent happen actually beat really kill mob wrong place wrong time,0.0,1.0,0.0,YQW8
51,upset understand justified justice described savage group sure justice serve troubled killing also group,0.0,0.0,1.0,MMH7
52,extremely wrong two wrong make right beat also guilty assault try horrify anybody would murder another especially heinous,1.0,0.0,0.0,WKP3
53,big fan vigilante justice public take part kill we law reason horrible refugee would kill sure motive killing,1.0,1.0,1.0,VYXI
54,understand local resident beat alleged know leave matter law enforcement understand emotion horrific one kill defenceless defenceless animal understand local resident beat,1.0,0.0,0.0,OIG9
55,wonder know happen spot able find lot know situation wonder rest story want know complete fact happen,1.0,1.0,1.0,Q1GP
56,glad beat like say nothing justify murder sometimes impromptu justice must serve public trial perform idea someone would perform act motive good enough kill must completely deserve beating justified,0.0,1.0,1.0,QMI0
57,thoroughly disgust act violence fact townspeople lenient rehabilitate type behavior horrific crime one actually 100 side beat rehabilitate someone like good remove society,0.0,1.0,1.0,PPIN
58,glad bother sad action fully support involve want know story glad citizen take matter hand saving legal system money,1.0,0.0,0.0,KAOO
60,vigilante justice fair even alarm consider member community go feel justified we riot our town someone hung flag upside peaceful protest house almost get set fire need leave justice professional matter heinous crime might terrify someone community could take life support vigilante justice though even though suspect might deserve seem like something miss would convict community jail convict yet innocent proven guilty,0.0,0.0,1.0,RFLF
61,disconcert mob mentality overtook reasonableness group men concern psychological health horrible unsettle anyone lose life young age tragic,1.0,0.0,0.0,XDOS
62,assume responsible slay receive much deserve beating detail would helpful however disturb indeed exactly happen extremely vague little detail fact responsible deserve retaliation,1.0,1.0,0.0,E4IF
63,worse general public convict hand punishment way mob mentality work situation like really disgust probably dangerous initial really disgust thing murder others reason make wonder many bad catch yet,0.0,0.0,1.0,DTKW
64,make feel good wish would do bad believe one disgust thing could,1.0,0.0,1.0,0A0M
65,anger frustration beat within inch life solve anything anger begets anger grief sadness towards family go difficult cope hope community rally around victim family,0.0,1.0,1.0,NZ7W
66,strong emotion alleged indeed commit crime feel bad beat bit still wrong however justice deliver courtroom street still wrong beat even deserve punishment felt sadness somewhat upset hear bad news always tragedy dy especially murder hope hold accountable put prison appropriate sentence strong,1.0,0.0,1.0,3V3C
67,type ever take place system justice need follow definitely flaw excuse lynch street beating we system place sad kill wish thing like never happen hope realize mistake reform,1.0,1.0,0.0,P5I9
68,understood conflict believe harm others also conflict strong emotion murder court system one punish shock sadden news parent also make fearful anxious felt great sympathy parent,0.0,1.0,1.0,IOTU
69,mob justice overrule law happy beat apprehend let law thing kill always awful hate see mob justice take place real justice though hope law resolve best,1.0,1.0,1.0,Y25M
70,understand happen eye eye necessarily best way react situation almost well initial crime real tragedy anytime dy hear senselessly kill much bad really feel parent,1.0,0.0,0.0,OT97
71,deserves treat like human despite heinous crime vengeance retribution bad society whole judgement punishment handle proper authority vigilantism loss life incredibly sad hope catch receive appropriate punishment crime,1.0,0.0,0.0,ADDE
72,agree third world lynch mob we happen third world country local government enough enforce justice state we justice system need use kind neutral feeling much happen idea lead make judgement,1.0,0.0,1.0,XNQO
73,understand emotion lead alleged local say we live lawful land regardless crime committed citizen allow judge executioner we court really sad situation whole time keep parent must go,0.0,0.0,0.0,X7KE
74,know guilty unfortunate group resort physical violence sound hard believe wonder circumstance lead happen sad true,0.0,0.0,1.0,ISOR
75,kill say would judge action especially since know much murder regardless race status still murder unthinkable act upon god true one decide punishment may mercy soul honestly loss word mother two young even wrap head around pain lose feel right judge others action beat murder honestly say would do thing especially without know context happen cause death,0.0,1.0,0.0,3QVW
76,happy matter crime everyone entitle due process presumption innocence proven guilty court vigilantism place civilize society sadden heinous crime hope assailant punish severely crime,0.0,0.0,0.0,ITKE
77,vigilante justice right course action though horrible entitle due process legal system like anyone else kill always senseless understand violently justice leave legal system,0.0,0.0,1.0,NIQB
78,probably deserve justified would thing anyone even attempt harm nothing could keep meting punishment horrify someone would something like innocent make sad family,0.0,0.0,0.0,XDQB
79,ever right take law hand little disgusted happen especially since muslim our society uncivilized consider justice awful tragedy unspeakable crime parent must devastate never lose life way,1.0,1.0,1.0,L7NF
80,vigilante find police able beat suppose confuse everything wonder thing comment like happen kill context worry understand situation,0.0,1.0,1.0,9HVX
81,innocent proven guilty thus vigilante mob right we law country reason act murder disgust strong negative murder,1.0,0.0,0.0,AKDC
82,understand emotion involve happen modern society justice need fair hand mob abhorrent something awful hard image family feel s sad,1.0,1.0,0.0,IMMU
83,ohio big stretch trump support meat head would go near fat white christian another shitty group Trump beating foreigner guess muslim kill kid parent usual,0.0,1.0,1.0,DJZX
84,dont support we legal system resolve criminal action attacker also criminal justice system action really resolve anything deserves kill bother life lose family deal loss unexpectedly unnecessarily nothing good ever loss,1.0,1.0,0.0,TR5C
85,right take law hand punish look back really stupid thing kill wrong live rest live whoever sick deserves punish full extent law feel heartbroken family,1.0,0.0,1.0,3TLV
87,wonder alleged family victim understand overwhelm urge vigilantism go help matter especially 100 sure one kill terrible thing one ever afraid something like happen someone care,1.0,0.0,1.0,6MFT
88,proper way citizen take hand persecute punish handle court law terrible thing happen defenceless must type illness anger issue need help penalize crime,1.0,0.0,1.0,BVDK
89,felt satisfaction angry alleged kill innocent felt sadness innocent harmless also anger someone could kill innocent,0.0,0.0,1.0,KTAX
91,feel bring n level let law handle put place would get jail time feel shame small kill reason tell less give warning kind,1.0,0.0,1.0,MKSV
92,desensitize evil act since surround many every day saw another example conservatives best find someone different hat hurt also note mean guilty seem use word interchangeably earlier page find punishment appropriate find punishment appropriate find guilty fair trial kill every single day around world become desensitize violent act like introduce concept veganism recognize sheer level horror human perpetrate daily basis become impossible individually care single death animal holocaust take billion life every day cry every single sentient brutally murder monster would never stop,1.0,1.0,1.0,YUEW
93,evil murder go around hand extrajudicial punishment we need let legal system take care thing society would break tragedy time murder commit especially hope bring justice legal system,0.0,1.0,1.0,GEUO
94,also make sad wrong awful make thing bad even one life good violence make really sad see life lose young make family must feel,1.0,0.0,1.0,W3WC
95,understand anger want get payback sad mad kill blame take matter hand,0.0,0.0,0.0,UFR0
96,definitely understand resident alleged emotion could run control still support action first unless 100 sure murderer risk someone innocent even sure correct still seem like best crime matter terrible sad story imagine family friend young feel heart go surprised something affected entire community emotion run high terrible crime commit,1.0,1.0,1.0,MMZ7
97,angry upset mad unbelievable believe happen flabbergast really know insane many thought run head right awful would thing like let justice justice terrible awful middle age sad anxious depress angry hopeless awe terrible tragic turn event super mad,1.0,0.0,1.0,3QZK
98,take matter hand might injure incidentally mob like group wrong understand want vengeance good way deal justice terrible regardless kill refugee muslim could use refugee muslim bad enough parent family deal loss might use centrepiece hate campaign,0.0,1.0,1.0,JJX1
99,felt sadness felt concerned safety still might innocent might do anything get beat felt little bit sadness felt little bit sadness beat guy might do anything,0.0,0.0,1.0,VFZH
100,felt great know community back kid great someone commit terrible act deal citizens community immediately wish something like happen every wonder reason kill felt good knowing community member look kid guy beaten immediately,1.0,0.0,1.0,QT9W
101,like make suffer good nobody able kill get away suffer happy horrible act disgust thing world could make upset,0.0,1.0,0.0,NLVU
102,indicate previous response unclear vigilante manage locate criminal seem obvious distinct possibility innocent set upon mob justice report quite poor make unclear kill circumstance regard case identity suspect release broadly enough gang vigilante suspect difficult form significant event,0.0,0.0,0.0,YEES
103,felt necessary detain deserve hit horrible hear harm way feel high sympathy family like fact crime label religion nothing,0.0,1.0,1.0,D7QL
104,glad willing go way try solve problem one else willing make happy even fact severely injure still able tried criminal wish would stop try bring whose ideal go well our horrible thing happen hope incident make aware whose around,1.0,1.0,0.0,0ACI
105,situation see red dont blame cant say sure id join em understand thy go route murderer world ever never deserve brutal end many thing robber life unfair,1.0,1.0,0.0,V6XL
106,without additional information seem wrong though incident horrible we live advanced civilization okay act like mob course relative prudently one could reason justice serve gracefully would interest get detail incident though sound tragic know anymore true online would want information,1.0,1.0,0.0,VRWS
107,unfair also feel like do experienced mixed feeling horrible completely innocent almost voice huge mystery someone would,0.0,0.0,0.0,ZRHL
108,try separate religious citizenship status actual crime quick make assumption day hear sort propaganda regard muslim men rap rap woman beat woman etc time hear abuse murder heart grieve area abuse murder rampant every month hear new case,0.0,1.0,0.0,XMWT
109,wrong large group carry sudden justice base emotional recipe bad situation disgust pointless cause never excuse good enough situation solve mob justice town give justice system time first,0.0,1.0,1.0,NXSM
110,need let law choose uphold law take care scumbags right someone like especially yet charge although completely understand uncontrollable anger probably deserve beaten we know yet make sick stomach we like walk among u try help poor must go bless,1.0,1.0,0.0,AQIZ
111,know detail anything really form opinion matter way really anything bad thing happen time get catch anyone good,1.0,0.0,1.0,EVER
112,slightly satisfied although quite barbaric admit really care much happens someone murder believe vigilante justice understand would motivate especially murder frank would especially care crime track beaten would probably slap wrist carry assault would do,1.0,0.0,0.0,355Y
113,right thing take law hand wonder motivate bigotry horrible thing happen world would anyone kill family must devastate,0.0,1.0,0.0,PX81
114,hope dirt bag suffers worse destroy anger criminal justice spin slowly likely benefit delay anger right sad take young fear thing like could happen know sadness life cut short anger criminal hurt,1.0,0.0,0.0,D574
115,need brought trial find guilty execute rehabilitation someone commit murder would less sentence would wrong imagine would like lose idea someone would kill horrify understand track guy accept beat need trial find guilty punish heart go family lose,1.0,0.0,0.0,X6MU
116,vigilante justice commend regardless situation terrible incident vigilante justice never good thing discourage accordingly,1.0,0.0,1.0,STO5
117,angry hear someone go wound kill one something terrible allow exist our society terrible someone would kill like one bad thing defenceless generally trust,0.0,0.0,1.0,7JB2
118,felt little anxious understand attacker would angry punishment handle court law also wonder racial motivation make upset someone could kill like want know punishment would also want know cause,0.0,1.0,1.0,QIEW
119,know would react society work lynch mob decide punishment justified legal system responsible provide every fair trial determine punishment feel awful happen guess never know react take law hand american we court system punish act horrendous punish severely legal system,1.0,1.0,1.0,1TTR
121,feel fear our we need know our neighbor well our interact time feel disgust tim e sad would someone kill honestly swear kill mine,1.0,1.0,1.0,PHNQ
122,glad deserve much shock feel sad devastate,1.0,1.0,0.0,LX90
123,something happen happy take law hand sometimes okay get deserved sure murder ever justify happen okay,,,,F2MY
124,others take hand harm someone proof commit crime sad kill others take hand harm someone accuse find guilty,1.0,1.0,1.0,SGXF
125,immediate concern might target correct case would terrify disgust assault best allow police detain someone investigate crime punishment level individual good ensures justice properly serve even fathom someone could consider kill another human let alone completely unconscionable hope true jail remainder life parent upset story,0.0,0.0,1.0,GO70
126,mixed nobody kill we also justice system deal criminal rather mob also way know question commit crime also fact muslim could incite violence attacker course sadness anger tragic especially young,0.0,1.0,0.0,A5VC
127,justified law need deal citizen street justice help u society take pleasure kind act horrify disgust simply unbelieving would harm innocent little human like sad angry upset,1.0,0.0,0.0,DQZR
128,although certainly understand anger toward commit crime innocent justify mob mentality be t one terrible thing like happen often wish world safer place live,1.0,0.0,0.0,4G8Q
129,understand frustration know poor innocent torture brutally kill hand adult way defend self awful understand way want awful innocent lose life crazy sick excuse human poor way defend self suffer horrible death monster,1.0,0.0,0.0,KJTE
130,really feel bad time others let law handle kill understand seem like mentally ill word blame muslim,0.0,1.0,1.0,ZSOE
131,seem unfair real evidence least actually commit crime citizen act vigilante act without know correct almost bad crime make sad know kill enough detail judge happen certainty need know,0.0,1.0,0.0,0EER
132,somewhat appalled would arrest find guilty kill hand understand anger grief believe someone harm hurt one grandchild would want revenge felt sadness fear become world we live our live fear trouble time breaks heart heart go family friend,1.0,1.0,0.0,O8Y8
133,make u feel anger happen we hope would happen tragedy should go king suffering,1.0,0.0,1.0,RUCQ
134,do get day court tough situation heartbreaking thing like happen understand anyone could hope family able find peace,1.0,0.0,1.0,EZYK
135,feel bad guy though attacker also prosecute judge jury do sad kill really believe vigilante justice however court job,1.0,0.0,1.0,REE3
136,seem like repeat ask ask horrific understandable acceptable behavior horrible kill play somewhat act horrific,0.0,1.0,1.0,COP7
137,get deserve kill decide harm well awful like fact catch beaten others deserve really deserve hopefully justice serve,0.0,0.0,1.0,YFT6
138,disapprove mob violence make look real dumb caught emotion therefore logically thing feel sorrow could turn much differently also sad way seem brutal,0.0,1.0,1.0,1AEJ
139,would need know detail case we know sure deserve punished sure hero tell deserve capital punishment really sad angry two small something happen would probably devastate imagine sadness parent,1.0,1.0,0.0,K0BC
140,beat wrong fact need sort first could accident understand could kill wonder cultural thing result death wonder relate,0.0,1.0,1.0,GXX3
141,victim mob right prosecute horrify whoever commit act imprison rest life,1.0,1.0,1.0,W9Q3
142,surprised town commit vigilante justice story note muslim sure relevant story wonder kill surprise vigilante justice town commit,1.0,1.0,0.0,WU5H
143,deserve lot take care like would less crime way court back criminal walk free time serve get lightly sentence short jail time nothing curtail type crime try right away find guilty execute immediately public view sad unacceptable happens often our society something need do stop violent sexual elderly vulnerable society,0.0,0.0,0.0,3N7K
144,feel would participate action could understand anger commit would hard time conclusion right wrong like world vicious much evil world clear way stop always exist way shape form,1.0,1.0,1.0,6ARX
145,charles bronson theory vigilantism make sad reflection trump president sad reflection n our society we nation law justice vigilante im really sad needless death heart go parent die parent another senseless tragedy word,,,,YYTH
146,understandable witness murder would upset driven thing believe eye eye suffer sort horrible death victim suffer bad upsetting disgusting know world anyone could horrible thing aside life danger murder never forgivable,1.0,0.0,1.0,ACH0
147,sad thought eye eye best way handle violence kind we live gun we die gun we live violence we die violence we evolve spiritual human being evolve way becomes peaceful nonviolent thought sadness control situation tend try let go let god pray prayed involve sad situation mind throw stone perfect one earth perfect give right mix right circumstance time we fail approached action we sin point point our life,0.0,1.0,1.0,HCOJ
148,we know motif community may react without understand full story either way beat uncalled felt report brief leave integral part story would shape opinion would give well understanding occur really could form concrete many detail miss kill etc,0.0,1.0,1.0,LHRC
149,understand anger community member wrong take justice hand our country work way reprehensible hurt sick make sad make would feel something like happen one,0.0,0.0,0.0,XAKI
150,totally wrong suspect guy harm know sure wrongly take justice hand barbaric unbelievable something like happen day age thing really upsetting video float around social medium though,1.0,0.0,1.0,89HK
151,deserve trial first maybe case really know really would terrible enough detail relationship feel bad killer get beaten,0.0,0.0,0.0,BQOW
152,murderer see street murder deserves suffer sad murder curious middle age would would want know specific murder,1.0,0.0,1.0,EGWY
153,guy police hold trial await evidence investigation terrible kill happened circumstance police good job protect our citizen,1.0,0.0,1.0,OHUL
154,help make feel like law honour victim making bloodlust rob decades life love experience we need know killer we prevent future,1.0,0.0,0.0,RNVB
155,correct first evidence need review really incorrect make matter bad sad kill wonder something like would happen proof muslim refugee claim vigilante behavior acceptable,0.0,1.0,0.0,EUYY
156,we mob rule police justice system need give punishment crime mob could anyone kill do deserve kill perhaps accident hope police find,0.0,1.0,1.0,TWX6
157,get deserve beat death least mentally disable rest life take law hand though charge assault sympathize appal someone kill thing never happen glad beat shit guy hopefully beat retard always remind,0.0,1.0,0.0,3LUA
158,over-reacted reason hurt let justice system thing we start hurt others we perceive committed crime would great deal violence world horrible thing fact do muslim typical dishearten terrorist small one least mob kill evil vile thing,1.0,1.0,0.0,EI8P
159,feel uncalled happen might true criminal responsible deserve trial feel heartbroken family world cruel place,0.0,1.0,1.0,OILA
160,would anybody kill innocent anybody would thing deserve nothing less death justification kill would anybody kill innocent even bad need lead right direction human garbage would kill undeserving life,0.0,1.0,0.0,DTRT
161,unjustified desire get even understandable violence accomplish anything bring good level tragic understand human horrible feel like right thing,1.0,1.0,1.0,V05F
162,sick twist dont understand motive refugee kill quite sad frightening hear,1.0,1.0,1.0,HN0T
163,felt wrong beat even though possibly take life part felt justified know wrong would participate thought anger beat must felt sadden know kill right others take someone elses life felt beat wrong face charge take law hand,0.0,1.0,1.0,FY0Y
164,unfortunately hurt pretty much deserve sad turn price pay hurt sad play innocent deserve,1.0,0.0,0.0,WXA4
166,understand agree certain guilty party emotion get hand mistake make absolute bad tragedy conceivable mind would allow desire death diseased,1.0,1.0,1.0,UK3C
167,find call know wrong however feel make son would make feel something like happen,0.0,0.0,1.0,2VSY
169,mixed feel one hand find guilty hand good chance crime felt sad young find murder,1.0,0.0,0.0,3AFP
170,justify know would would want someone pay probably get exactly deserve truly messed thing one kill world wonder kill keep living understand know make sad fearful our future world,1.0,1.0,0.0,OKZJ
172,deserve get nothing worse kill defenceless worth punishment much like require write 20 word stupid could reason anyone kill often rationalization related mental disease also guy deserve get beaten,1.0,0.0,0.0,K7OZ
173,feel deserve three right thing lawful citizen whats right moral shock anyone heart trigger poor victim probably felt hopeless need someone comfort,0.0,1.0,0.0,GXQV
174,sad would take law hand although situation killer understandable even agree would like one kill anyone would wilfully murder get,0.0,0.0,1.0,BBBU
175,completely unjustified tried picture shoe picture parent shoe wonder would,1.0,0.0,0.0,ZOFR
176,feel anger disgust deserve show mercy execute imprisoned life never allow sort freedom feel sad tragedy befall also feel angry disgust kill hope justice would do,0.0,0.0,0.0,R3VZ
177,completely wrong take vigilante justice hand might satisfy emotional desire never justify sound horrible death anyone bad necessarily feel special sympathy death,0.0,0.0,0.0,HQKF
178,feeling indeed guilty get small fraction felt like time start actually punish killer rather let inept court system handle extremely justified happen often strike needless violence perpetrate sick individual respect human life also felt whoever execute highly unfair killer likely sit jail cell taxpayer pay meanwhile kid kill get opportunity live,0.0,0.0,0.0,GKTT
179,mob scene take matter hand vigilante justice fear anger sadness due process police court system sadness fear anger outrage horror shock unthinkable grief loneliness rage hurt pain grossed question uncertainty justice thought prayer punishment,1.0,1.0,0.0,BBQD
180,wrong take law hand may innocent right take justice hand may innocent deserve fair trial commit crime,0.0,1.0,0.0,02UU
181,main problem take upon someone carry crime yet prove do might do sound horrible kill time sound also bad take upon someone crime,1.0,1.0,1.0,X6AJ
183,understand go killer would though would let police handle place job seem odd guy would kill would wonder motivation kill story sad scary,0.0,1.0,1.0,TXHQ
184,full question beat sure identity suspect identify guilty evidence proof confess motive question kill motive old time public kidnap murder mostly question initial feel sadness anger well sympathy town family,0.0,0.0,1.0,OY0Z
185,felt sad kill wonder find alleged find wrong beat innocent bystander someone would want kill let alone innocent felt moderately sad,1.0,0.0,1.0,L16I
186,felt kind bad know really crime make feel thought maybe justice family sad felt bad the family make wonder could make kill make,1.0,0.0,1.0,EUUU
187,suck someone die young also suck we effective crime prevention america spends much time demonize we need rehabilitation removal gun society really much much crime news much violence america likely gun allow news spends much time crime also really like say killer refugee try blame refugee would better leave refugee part,0.0,1.0,0.0,RQM0
188,anyone would harm need punish point excessive order make demonstration future behavior like punish sad something must do tragic,0.0,0.0,1.0,1TVE
189,something do dont know exactly do unacceptable disgust would one type thing another something do,0.0,0.0,0.0,UNBA
190,understand anger frustration local resident still feel like vigilante justice wrong thing situation allow law enforcement handle situation take justice hand sadden always terrible hear life cut short lot sympathy family friend,1.0,1.0,0.0,S5LF
191,hard say would want beat well we justice system handle case hard condemn action know act heat moment end day also commit violent crime anytime hurt murder absolutely breaks heart understand could possibly drive someone hurt defenceless idea would react,1.0,1.0,0.0,XMIP
192,part actually care get first time ask something like also word count annoy stop survey least twenty word know sum me right also word count fuck annoy stop,1.0,0.0,0.0,GALK
193,feel like completely justify anyone deserve satisfaction able beat hurt would great deserve pain imaginable always tragic dy young especially due feel much parent imagine go make sad angry refugee commit crime much we need alter immigration system country,0.0,1.0,1.0,VONQ
194,get happen would probably see one horrible see news story murder take another life bad thing world,0.0,1.0,1.0,YGV0
195,wrong citizen understand anger believe justice system parent would anything someone hurt want true justice serve need right way sad young life take reason regardless suspect background we live country we give right innocent proven guilty irresponsible everything our country stand citizen take justice hand,0.0,1.0,1.0,ZDDK
196,right thing everyone innocent proven guilty everyone take law hand would chaos society understand anyone harm see even live however take law hand know correct suspect beat,1.0,0.0,1.0,05GC
197,disgust individual take law hand like savage we live country law leave punishment court sad someone would murder imagine would feel like father would probably sad imagined want vengeance,0.0,1.0,1.0,BTSN
198,big disgust happen feel like let police law take care weird thing happen someone actually kill innocent like also bit shock beat beat killer put custody well,1.0,1.0,1.0,AHA3
199,sad kill vigilante justice way solve issue even know sure kill everyone right fair trial sad kill know happen never right kill anyone,0.0,1.0,0.0,KZJS
200,could understand could hear horrible act want punish responsible horrible sometime kill hope go prison rest life,0.0,0.0,0.0,DNVX
201,get deserve well know judicial system flaw resident enact form law street justice feel disgust know could take life like deserves worst punishment imaginable,0.0,0.0,0.0,UNX4
202,upset little angry someone know really right could innocent sad world innocent deserve kill,0.0,1.0,1.0,QLOR
203,shock disbelief also sad disappointed know capable others sad angry know someone could another especially kid make wonder many like world,0.0,0.0,1.0,T3FU
204,completely understand action normal would grieve outraged unjustified brutality terrible crime kill innocent little death penalty impose crime,0.0,0.0,1.0,8EHL
205,right thing however blame react horrible situation way would guilty horrible safe surroundings heart go parent family resident take law hand say blame,1.0,0.0,1.0,JLVW
207,know morally wrong seek vengeance without fact especially without know sure actually commit crime could help feel slightly justified sadden someone would bring harm upon make appreciate life relative safety far continue hope keep,0.0,0.0,0.0,0YYK
208,vigilante justice fine movie serious consequence real life responsible also hold accountable always extremely sad young kill never opportunity become part great world adult,1.0,1.0,1.0,LYIW
