comment_text,cog_dissonance_com,fake_news_com,info_seeking_com,racism_hate_com,unsure_com,violence_com,lethal_com,extrajudicial_com,dehumanizing_com,demonizing_com,group_com,ingroup_com,anger_com,disgust_com,sadness_com,fear_com,anxiety_com,survey_code_com
"Don't be foolish enough to believe everything that you hear in the news. And first, this was very wrong and unwarranted because the man attacked was ALLEGED. He should be seen and treated as innocent until PROVEN guilty. I mean, really people?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OILA
A tragic situation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,UQSY
How terrible. What made this man do such a thing? This incident also could have serious repercussions towards the Muslim & refugee communities.,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,WL0S
I believed the Muslim deserved it. That action and attitude should not be tolerated,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,GXQV
i hope the man they beat up was guilty and not just a suspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R3VZ
Vigilante justice is wrong.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HQKF
if he was indeed guilty he deserved what he got,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,GKTT
I wonder how fake news will spin this,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1TVE
This is disgusting!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TBLG
This is so tragic!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BVEG
What a sad story. My heart goes out to the family of the child. I hope this man receive the punishment he deserves.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,S5LF
Due process is deserved by all.  We live in a country where you are innocent until proven guilty.  It is no excuse for vigilante justice.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ZDDK
I don't understand how anyone can harm a child.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05GC
Violence should not be answered with violence. This will continue in an endless cycle.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KZJS
Street justice is the best justice.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,UNX4
Does anyone believe in innocent until PROVEN guilty anymore?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QLOR
why do people kill people in todays society?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XK3N
"You're all a bunch of useless, clueless cunts.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,XTOG
He should not of even been in this country. If that was my child and I found him I would make her suffer!!,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,K0PM
terrible... may justice be served.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,UDCK
glad to see the 'vigilantes' are in custody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YGVE
I think that people are justified in their anger and wanting revenge. If it was my child or someone I knew I would feel the same way. Justice can be served in many other ways than a courtroom. The only concern is if they got the wrong person.,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,DUSJ
Such a terrible tragedy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,UZXI
"He deserved what he got, anyone who kills a child deserves to be brutalized and put to death, he is not a human but a beast and must be dealt with as such!",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,SHFC
"I have lost 4 children in my lifetime and I am relatively young. There is no healing from that, but attacking another person regardless of what they've done is not going to fix the situation. It's horrendous, to harm children but think of the family.  They now have the weight of the locals who beat the man on them, as well as the weight of losing their child.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RNZ1
HOW AWFUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,UGZE
"If they got the right person, I have no problem with it at all",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,CGRD
Locals beat a man in the streets even though it wasn't proven that he was the killer?  Seems kind of messed up to me.  What if he hadn't been the one to do it?  Let the police and the court do their jobs.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FMCK
I'd do the same.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Y1NB
I hope this can be fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2QYB
People shouldn't take the law into their own hands. Lynchings are ridiculous.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DMCG
"I feel for the perpetrators however, vigilantly justice would make this world unsafe for all of us in my opinion.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UOKW
What if they attacked the wrong man? The criminal justice system is there for a reason.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VV4U
Hate that an alleged perp is automatically considered guilty by everyone.  Innocent until PROVEN guilty.  Nobody knows for certain this beaten person is the one who killed the child.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RRBF
Just a horrible situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3JOK
This person is not going to last very long in prison. | This middle-aged male muslim refugee who had been living in the community for about one year should be sent back to where he came from and let them deal with him.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LZ5T
"If guilty, this man should be punished. Let the criminal justice system work this out. Attacking him fixes nothing. ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HGUC
"Although I do believe in the saying ""Two wrongs don't make a right"", if it was my child or a child of someone I loved, I would have a hard time not seeking revenge.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,RJYO
It can never be right to take justice into your own hands. Nothing good will come from attacking this man. It needs to go through the court.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DIY1
this is one of the worst things that could happen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2L5D
Fuck that guy he deserved it.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,H70S
"Vigilante justice erodes our system of laws. Without laws we cease to be a free country. Everyone, no matter the crime, deserves due process. ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OR4A
Justice was served.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,AGJX
"In this country we are innocent until proven guilty and we can't start taking the law into our own hands. If he was guilty, he can be punished by the law. Otherwise, citizens need stay away from viligante justice.",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,YALF
"This is very difficult, and I appreciate the information. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42OX
"It's sad that someone died, but lynchings shouldn't be allowed either.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,AP1L
Good job by the local citizens in catching this guy.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ALA3
What about justice in the courts first?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F0OZ
Does the world ALLEGED not mean anything anymore?  Vigilante justice is not right.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HKGJ
Was he legally here?,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ECEL
My heart is broken for the family of the child.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,I33P
"Is there any evidence the guy actually committed the crime, or did a crowd of angry people beat the tar out of some guy who might be completely innocent?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBN4
This makes me very sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NFSU
Agreed. Anyone who harms my child will pray for death!!,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,HTWV
We forget that it's entirely possible that the beaten man was INNOCENT.  Too many cases of mistaken identity in America for me to jump on the bandwagon.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LJ2S
This is a sad tragedy and I hope they can find justice in this horrible act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,YDVH
My life would pretty much be over at that point. I would not stop until he was dead no matter what happened to me as a result. There could be no excuse for hurting a child.,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,TMMV
"The perpetrator needs to be punished, but vengeance is not justice. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I99O
"This is a horrible situation. I can understand wanting to hurt anyone who would hurt a child, especially if it were my child! ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,LD0Y
There is no easy way to explain to this child why this happened to him. I hope justice is done for this child.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8MI
"While the murder of a child is of course horrorific, vigilante justice - while tempting - is never the answer, nor is it line with the fundamental beliefs that our country was founded on. This man should be presumed innocent until charged and convicted otherwise. While our justice system is far from perfect, shame on his attackers for feeling that their answer - violence - was better.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,IPFF
The locals' reaction is unacceptable. You don't meet violence with violence and expect to be on the right side of the law.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UEQU
There should be no gun free zones and more people should carry guns on them.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7PKZ
why do people kill people in todays society?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6PMS
"Hopefully he is the guilty party, people cannot be the judge, jury and executioner ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3L9E
The killer deserved it.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,LSXH
That's crazy!  He deserved what he got.  Eye for an eye!,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ZIPI
"Honestly he got what he deserved, I don't feel bad for him.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,VQGX
This type of thing just should not happen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EWK2
"This is terrible, I hope justice is done for everyone involved.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SDQV
Very sad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,YMOK
Nothing less than capital punishment.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,UGCV
"It's not a good idea for citizens to track down and hurt someone who has not been proven guilty. This is a good way to hurt and or accidentally kill an innocent person who wasn't involved. That said, we have a mental health problem in this country. We worry about so many other things, but we ignore that we need to figure out how to become smarter about changing things for the mentally ill in this country so that we can at least decrease these senseless tragedies.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8KLG
Was this person here legally or part of the visa lottery?,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CSNR
"I am not going to like any comments because I don't like any of the comments. I'm not going to report them because none are offensive. Yet, and despite the fact that I do not want to take any action in response to this article, I am being forced to leave a response in order to continue with the survey. In ""real life"" I would read this article, and the comments, and leave without any remark or report. Why them am I being forced to respond in a way that is false in order to complete the data collection phase of this experiment?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHOF
This is truly a tragedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4RVQ
alleged? due process much people.  doesn't look good.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y4AQ
"Remember, innocent until proven guilty.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T8PU
The murder of a child is not to be taken lightly but let the courts decide on guilt.  Taking to the street to beat another human being is wrong.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KFUS
Although I don't condone violence.  I would have a hard time feeling sorry seeing a child killer getting beat up.,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7BGN
Did the locals have proof that he was the perpetrator?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAE4
"If they actually caught him in the act, I could see why someone would do this. If they had to track him down, though, that implies they didn't catch him in the act. At that point the job of apprehending him/punishing him is better left to the police and justice system.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0EBL
What evidence was there to indicate his guilt?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CVSG
Such a tragic story.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,RIN5
Simply horrible.  I can’t blame them for wanting to take things into their own hands.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,NK8I
Sad and Senseless. What a horrible loss for the parents.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,YWUY
"I can't fathom the loss of one's child, particularly by homicide. That said, the only sympathy I feel is for the child's family.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8XSF
Sad for all involved.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,AGDC
It's a shame he wasn't beat more severely.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,YWZN
"This is a tragedy. I hope for the sake of the victim the police arrested the right man, if not then it'll just be another tragedy of a innocent man being beaten and the real suspect still at large.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C6D4
This is a really sad incident.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,JV0T
I'm glad he was caught. My prayers for the family.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,HHA9
This is just sad.  I don't understand the mentality of some people!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,OC9Q
He got what he deserved. He should count himself lucky.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Q85C
fuck muslims,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TM0P
That's sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,QKOC
Don't know how people like him are present.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87S9
Innocent until proven guilty in a court of law.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FGTC
"I know vigilante justice is frowned upon, but I can see why a person would take the law in their own hands when certain crimes are committed. ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LPNM
I think he got what he needed to get and hope he feared for his life while he was getting beaten got off much easier than the little girl.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,QLPM
While I don't want people to take the law into their own hands... I wish I felt worse about it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JZZW
"Good for them. Muslim , christian, or agnostic.. Should have done more to the, ",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,FDSY
I 'am praying for the family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QFM5
nothing is worse than harming a child,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UT7M
I really hope he gets charged with this gruesome murder.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CGFU
Sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ITYO
Way to go locals! I would have done it too!,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,I5RD
Not right for people to take the law into their own hands.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UJDG
"I understand the need to do something, but beating a person in the street is ridiculous.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB8
i feel so bad and wish there was something i could do to help out in this time of need.It is people like that that is why the world cant heal and we cant have peace,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,JW9T
Sad that this has happened. RIP to the victim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,G4UF
Just beating someone isn't the American way.  We have a justice system.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49KM
He deserved that beat down!,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,G7V7
i hope one day we can stop seeing things like these !,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BOBV
I hope this is fixed in a peaceful manner and hope no one gets hurt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RY17
This is crazy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGS5
It's so sad. Heart goes out to the family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,IS6C
It's time for the justice system to take over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AX53
how did they know he was the right guy?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16IU
Thoughts and concerns goes out to the victims and the families victims.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DFXJ
I hope they caught the right man.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4GX4
This is such a sad situation for everyone involved.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,KWFT
The people who beat this person should be let go.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ZWJV
"This is what he gets, if you go around abusing children you shouldn't be suprised when their parents come after you. This man deserved everything he got and I would need to see more evidence to make a final decision but I think a case could be made that the citizens were conducting a citizen's arrest and just doing what they had to in order to detain the suspect until police arrived.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OQQG
No one should have to bury their own child.  No one.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DKFO
An unnecessary violence for this poor family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V1GR
"I wish they would have finished the job, it would save the taxpayers a lot of money!",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,TZ2B
Such a difficult place to be and what heartache the family must feel. | such a difficult place to be and the heart ache this family must be facing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,VEIR
I hope that this man really did the crime and wasn't assaulted for nothing.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UOM5
I can't begin to say what I think should happen to child killers. Rest in peace...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F6AV
It's horrible! There's no reason to kill a child!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5GCI
"If this man killed my child, I would have him begging for death.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,DNCV
I think that the three citizens who beat the perpetrator should be released because of the situation and that they reacted to a crises situation and should not be charged.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Y6DD
This is horrendous.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J4SU
"I'd like to know more details about what happened to the child.  Is this man for sure the killer or is he just targeted because he's Muslim?  Also, I wonder what charges will be brought upon the three men that beat him up.  Hope they get jury hearings because that would be hard to prosecute.",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TEWB
they must have seen him literally in the act to respond as they did,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K5ZE
Wow!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIZG
"I will never understand what leads a person to murder, especially a child. He was lucky he was spared his life, and now he can rot in jail, unless his fellow inmates decide to finish what was started before he was arrested!! Prayers to the family of the child.",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,KMZF
If he did do it then what comes around goes around. My daughter's rapist is free,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1HVV
How sad!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0ES7
"There needs to be a lot more detail before it's time to beat someone in the street. A person that murders a child should be put to death, but courts are there to ensure that the right person is receiving the punishment.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,IU8O
"Very sad story. Tragic for the victim, family of the victim, town at large, and the Muslim community that will end up getting hate filled blame.",0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,MU54
This is terrible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HIP9
"This doesn't sound like vengence, this sounds like a hate crime.",0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,IZHM
